session_id,n_turns,disengage_duration,disengage_event,positive_duration,positive_event,concrete_dated_prediction,specific_open_thread_named,callback_prior_session,callback_within_session,validation,self_correction,reframe,source_group
Human_Astro::conversation_1338879_1953.csv::s9,48,48,0,48,1,0.0,0.0,0.0,0.0,0.1,0.0,0.05,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s1,63,16,1,33,1,0.03225806451612903,0.03225806451612903,0.0,0.6774193548387096,0.0,0.0,0.03225806451612903,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s10,35,35,1,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s11,86,86,1,45,1,0.0,0.0,0.0,0.10256410256410256,0.05128205128205128,0.0,0.02564102564102564,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s12,21,21,1,21,0,0.25,0.0,0.25,0.125,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s13,64,64,1,1,1,0.07692307692307693,0.0,0.0,0.34615384615384615,0.0,0.0,0.11538461538461539,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s2,104,104,1,87,1,0.024390243902439025,0.0,0.0,0.3170731707317073,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s3,53,53,1,3,1,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s4,16,16,1,10,1,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s5,10,10,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s6,164,164,1,56,1,0.0273972602739726,0.0,0.0,0.3698630136986301,0.0547945205479452,0.0136986301369863,0.0136986301369863,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s7,13,13,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s8,30,30,1,19,1,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,baseline_returned
Human_Astro::conversation_1378119_1270.csv::s9,11,11,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s1,72,67,1,8,1,0.06896551724137931,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s10,56,56,1,56,0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.25,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s2,70,70,0,13,1,0.0,0.037037037037037035,0.07407407407407407,0.4074074074074074,0.07407407407407407,0.037037037037037035,0.0,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s3,49,49,1,29,1,0.05555555555555555,0.05555555555555555,0.0,0.6111111111111112,0.16666666666666666,0.0,0.2222222222222222,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s4,46,46,1,45,1,0.0,0.0,0.0,0.6428571428571429,0.21428571428571427,0.0,0.14285714285714285,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s5,61,61,1,56,1,0.04,0.0,0.16,0.36,0.12,0.0,0.04,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s6,57,57,1,49,1,0.09523809523809523,0.0,0.0,0.0,0.3333333333333333,0.0,0.09523809523809523,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s7,46,46,1,42,1,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s8,35,35,1,31,1,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,baseline_returned
Human_Astro::conversation_1520760_2925.csv::s9,55,55,1,48,1,0.07692307692307693,0.0,0.07692307692307693,0.6153846153846154,0.038461538461538464,0.0,0.0,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s1,68,60,1,53,1,0.027777777777777776,0.0,0.0,0.1388888888888889,0.027777777777777776,0.0,0.05555555555555555,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s10,30,30,1,30,0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s11,136,136,1,136,0,0.0625,0.015625,0.03125,0.0625,0.078125,0.015625,0.140625,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s12,145,145,1,145,0,0.04054054054054054,0.0,0.04054054054054054,0.6486486486486487,0.10810810810810811,0.0,0.10810810810810811,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s13,149,149,1,149,0,0.02564102564102564,0.0,0.0,0.8717948717948718,0.05128205128205128,0.0,0.07692307692307693,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s2,62,8,1,37,1,0.1,0.03333333333333333,0.13333333333333333,0.1,0.0,0.0,0.1,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s3,45,45,1,45,0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.045454545454545456,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s4,71,71,1,71,0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.14705882352941177,0.0,0.14705882352941177,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s5,60,60,1,40,1,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.37037037037037035,0.037037037037037035,0.0,0.2962962962962963,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s6,112,112,1,82,1,0.057692307692307696,0.0,0.0,0.19230769230769232,0.057692307692307696,0.0,0.038461538461538464,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s7,42,18,1,42,0,0.1,0.0,0.0,0.1,0.05,0.0,0.0,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s8,33,33,1,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,baseline_returned
Human_Astro::conversation_1680677_1931.csv::s9,86,86,1,54,1,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.0,0.11428571428571428,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s1,31,31,1,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s10,7,7,1,2,1,0.0,0.0,0.5,1.0,0.5,0.0,0.0,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s2,12,12,1,12,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s3,70,70,1,56,1,0.02857142857142857,0.0,0.05714285714285714,0.3142857142857143,0.08571428571428572,0.0,0.17142857142857143,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s4,16,16,0,12,1,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s5,14,14,1,14,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.0,0.16666666666666666,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s6,12,8,1,12,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s7,18,18,1,6,1,0.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0.1111111111111111,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s8,9,9,1,9,0,0.0,0.0,0.4,0.4,0.0,0.0,0.2,baseline_returned
Human_Astro::conversation_1851096_2048.csv::s9,12,12,1,4,1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2221141_168.csv::s1,26,26,1,8,1,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.17647058823529413,baseline_returned
Human_Astro::conversation_2221141_168.csv::s10,27,24,1,27,0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2221141_168.csv::s11,64,64,0,64,1,0.0,0.0,0.0,0.20588235294117646,0.0,0.029411764705882353,0.0,baseline_returned
Human_Astro::conversation_2221141_168.csv::s12,26,6,1,6,1,0.0,0.0,0.4,0.26666666666666666,0.13333333333333333,0.0,0.2,baseline_returned
Human_Astro::conversation_2221141_168.csv::s13,12,12,1,12,0,0.0,0.0,0.375,0.375,0.0,0.0,0.5,baseline_returned
Human_Astro::conversation_2221141_168.csv::s2,16,16,0,2,1,0.09090909090909091,0.0,0.2727272727272727,0.36363636363636365,0.0,0.0,0.18181818181818182,baseline_returned
Human_Astro::conversation_2221141_168.csv::s3,16,16,1,7,1,0.09090909090909091,0.0,0.18181818181818182,0.7272727272727273,0.0,0.0,0.2727272727272727,baseline_returned
Human_Astro::conversation_2221141_168.csv::s4,14,14,0,1,1,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.2857142857142857,baseline_returned
Human_Astro::conversation_2221141_168.csv::s5,21,21,0,21,0,0.18181818181818182,0.0,0.09090909090909091,0.5454545454545454,0.0,0.0,0.18181818181818182,baseline_returned
Human_Astro::conversation_2221141_168.csv::s6,17,14,1,17,0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.5555555555555556,baseline_returned
Human_Astro::conversation_2221141_168.csv::s7,16,16,0,16,0,0.0,0.0,0.0,0.8,0.1,0.0,0.3,baseline_returned
Human_Astro::conversation_2221141_168.csv::s8,17,17,0,10,1,0.2222222222222222,0.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.5555555555555556,baseline_returned
Human_Astro::conversation_2221141_168.csv::s9,16,16,1,16,0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,baseline_returned
Human_Astro::conversation_2634220_347.csv::s1,375,121,1,38,1,0.01507537688442211,0.005025125628140704,0.0,0.1708542713567839,0.01507537688442211,0.010050251256281407,0.035175879396984924,baseline_returned
Human_Astro::conversation_2634220_347.csv::s3,218,107,1,115,1,0.01652892561983471,0.0,0.0,0.6942148760330579,0.008264462809917356,0.0,0.008264462809917356,baseline_returned
Human_Astro::conversation_2634220_347.csv::s4,32,3,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2634220_347.csv::s5,12,8,1,12,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2634220_347.csv::s6,9,5,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2634220_347.csv::s7,22,5,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2634220_347.csv::s8,16,8,1,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s1,65,5,1,65,0,0.020833333333333332,0.020833333333333332,0.0,0.08333333333333333,0.041666666666666664,0.0,0.1875,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s10,20,20,0,20,0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s11,19,19,0,19,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s12,53,53,1,53,0,0.05263157894736842,0.0,0.05263157894736842,0.42105263157894735,0.0,0.0,0.5789473684210527,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s2,86,86,1,36,1,0.05128205128205128,0.0,0.0,0.10256410256410256,0.07692307692307693,0.0,0.358974358974359,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s3,47,47,1,47,0,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s4,30,30,1,30,0,0.0,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s5,63,63,1,63,0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.8823529411764706,0.11764705882352941,0.0,0.17647058823529413,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s6,36,36,1,36,0,0.0,0.0,0.25,0.8333333333333334,0.08333333333333333,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s7,39,39,0,39,1,0.0,0.0,0.5294117647058824,0.5294117647058824,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s8,29,29,1,29,0,0.36363636363636365,0.0,0.8181818181818182,0.7272727272727273,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2678448_3177.csv::s9,64,64,0,64,1,0.05555555555555555,0.0,0.5,0.6666666666666666,0.0,0.0,0.05555555555555555,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s1,29,29,1,29,0,0.0,0.08333333333333333,0.0,0.0,0.125,0.0,0.20833333333333334,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s10,78,78,1,78,0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.4791666666666667,0.125,0.0,0.0625,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s2,54,7,1,42,1,0.06818181818181818,0.0,0.0,0.8409090909090909,0.045454545454545456,0.0,0.22727272727272727,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s3,261,261,1,100,1,0.012048192771084338,0.03614457831325301,0.0,0.05421686746987952,0.09036144578313253,0.018072289156626505,0.0,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s4,61,61,0,10,1,0.02702702702702703,0.0,0.0,0.05405405405405406,0.16216216216216217,0.0,0.05405405405405406,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s5,139,139,1,5,1,0.04395604395604396,0.03296703296703297,0.0,0.6263736263736264,0.06593406593406594,0.02197802197802198,0.07692307692307693,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s6,61,61,1,5,1,0.08571428571428572,0.05714285714285714,0.0,0.4857142857142857,0.14285714285714285,0.0,0.05714285714285714,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s7,119,14,1,34,1,0.16176470588235295,0.0,0.04411764705882353,0.25,0.014705882352941176,0.0,0.0,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s8,83,20,1,10,1,0.14893617021276595,0.06382978723404255,0.0,0.6382978723404256,0.1276595744680851,0.0,0.1702127659574468,baseline_returned
Human_Astro::conversation_2725383_4463.csv::s9,78,78,1,12,1,0.0,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.125,0.0,0.08333333333333333,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s1,97,97,1,31,1,0.015151515151515152,0.0,0.0,0.3484848484848485,0.09090909090909091,0.0,0.015151515151515152,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s10,9,9,0,9,0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s11,53,53,1,53,0,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.1111111111111111,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s12,145,11,1,33,1,0.04854368932038835,0.019417475728155338,0.06796116504854369,0.009708737864077669,0.05825242718446602,0.009708737864077669,0.009708737864077669,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s13,84,15,1,75,1,0.0,0.018518518518518517,0.0,0.5925925925925926,0.018518518518518517,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s14,103,29,1,18,1,0.04918032786885246,0.01639344262295082,0.08196721311475409,0.6065573770491803,0.03278688524590164,0.01639344262295082,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s15,102,102,1,102,0,0.014084507042253521,0.0,0.014084507042253521,0.28169014084507044,0.04225352112676056,0.0,0.056338028169014086,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s16,41,41,0,25,1,0.0,0.0,0.034482758620689655,0.13793103448275862,0.0,0.034482758620689655,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s17,113,113,1,25,1,0.0,0.0,0.0,0.7464788732394366,0.028169014084507043,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s18,37,37,1,37,0,0.08,0.0,0.04,0.56,0.24,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s19,19,19,1,3,1,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s2,69,28,1,32,1,0.043478260869565216,0.0,0.0,0.34782608695652173,0.043478260869565216,0.0,0.021739130434782608,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s20,32,32,1,3,1,0.05263157894736842,0.0,0.0,0.6842105263157895,0.05263157894736842,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s21,23,23,1,6,1,0.0,0.0,0.0,0.9166666666666666,0.3333333333333333,0.0,0.08333333333333333,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s22,193,193,0,87,1,0.06818181818181818,0.007575757575757576,0.09848484848484848,0.3939393939393939,0.06060606060606061,0.0,0.07575757575757576,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s3,39,39,1,30,1,0.045454545454545456,0.0,0.13636363636363635,0.2727272727272727,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s4,23,1,1,23,0,0.125,0.0,0.0625,0.4375,0.4375,0.0,0.125,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s5,55,44,1,55,0,0.05714285714285714,0.0,0.0,0.6857142857142857,0.02857142857142857,0.0,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s6,23,23,1,22,1,0.26666666666666666,0.0,0.2,0.7333333333333333,0.26666666666666666,0.0,0.2,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s7,64,64,1,19,1,0.05,0.0,0.025,0.6,0.075,0.05,0.0,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s8,60,60,1,21,1,0.02702702702702703,0.0,0.05405405405405406,0.7297297297297297,0.1891891891891892,0.0,0.2702702702702703,baseline_returned
Human_Astro::conversation_2850603_1238.csv::s9,77,21,1,1,1,0.02040816326530612,0.0,0.10204081632653061,0.6530612244897959,0.12244897959183673,0.0,0.20408163265306123,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s1,114,4,1,85,1,0.014705882352941176,0.0,0.0,0.11764705882352941,0.014705882352941176,0.0,0.08823529411764706,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s2,57,57,1,17,1,0.06451612903225806,0.03225806451612903,0.16129032258064516,0.5483870967741935,0.0967741935483871,0.0,0.1935483870967742,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s3,27,27,0,13,1,0.1875,0.0,0.0625,0.4375,0.0625,0.0,0.3125,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s4,13,13,0,10,1,0.16666666666666666,0.0,0.5,0.8333333333333334,0.3333333333333333,0.0,0.16666666666666666,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s5,51,46,1,35,1,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.6153846153846154,0.038461538461538464,0.0,0.2692307692307692,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s6,46,44,1,37,1,0.09523809523809523,0.0,0.047619047619047616,0.5714285714285714,0.2857142857142857,0.0,0.3333333333333333,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s7,4,4,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s8,90,39,1,48,1,0.08064516129032258,0.016129032258064516,0.03225806451612903,0.7580645161290323,0.11290322580645161,0.016129032258064516,0.0967741935483871,baseline_returned
Human_Astro::conversation_2946836_3183.csv::s9,66,66,0,48,1,0.03225806451612903,0.0,0.0,0.7741935483870968,0.06451612903225806,0.06451612903225806,0.0967741935483871,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s1,22,22,1,10,1,0.11764705882352941,0.0,0.0,0.7058823529411765,0.17647058823529413,0.0,0.17647058823529413,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s10,23,23,0,23,0,0.2,0.0,0.6666666666666666,0.5333333333333333,0.0,0.0,0.13333333333333333,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s2,168,138,1,40,1,0.03125,0.0,0.0,0.015625,0.015625,0.0,0.0,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s3,15,4,1,14,1,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s4,15,15,1,2,1,0.18181818181818182,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,0.0,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s5,84,84,1,7,1,0.0,0.0,0.0,0.6065573770491803,0.16393442622950818,0.0,0.06557377049180328,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s6,35,35,1,19,1,0.13793103448275862,0.0,0.0,0.8275862068965517,0.13793103448275862,0.0,0.034482758620689655,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s7,40,40,1,40,0,0.0,0.0,0.03125,0.78125,0.03125,0.0,0.0,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s8,14,14,1,14,0,0.0,0.125,0.375,0.625,0.0,0.0,0.125,baseline_returned
Human_Astro::conversation_3064704_1747.csv::s9,34,34,1,34,0,0.08,0.08,0.56,0.92,0.04,0.0,0.0,baseline_returned
Human_Astro::conversation_3079187_926.csv::s1,28,28,1,28,0,0.0,0.0,0.0,0.5,0.05555555555555555,0.0,0.0,baseline_returned
Human_Astro::conversation_3079187_926.csv::s10,46,46,1,33,1,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.34782608695652173,0.17391304347826086,0.0,0.13043478260869565,baseline_returned
Human_Astro::conversation_3079187_926.csv::s11,46,38,1,46,0,0.0,0.0,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.0,0.03571428571428571,baseline_returned
Human_Astro::conversation_3079187_926.csv::s12,35,35,0,35,1,0.0,0.0,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.0,0.0,baseline_returned
Human_Astro::conversation_3079187_926.csv::s13,136,9,1,66,1,0.04938271604938271,0.12345679012345678,0.0,0.25925925925925924,0.20987654320987653,0.0,0.14814814814814814,baseline_returned
Human_Astro::conversation_3079187_926.csv::s2,153,19,1,80,1,0.03669724770642202,0.009174311926605505,0.0,0.8348623853211009,0.07339449541284404,0.0,0.2018348623853211,baseline_returned
Human_Astro::conversation_3079187_926.csv::s3,48,48,0,48,1,0.08571428571428572,0.0,0.17142857142857143,0.2,0.05714285714285714,0.0,0.17142857142857143,baseline_returned
Human_Astro::conversation_3079187_926.csv::s4,28,28,1,3,1,0.0,0.0,0.3,0.0,0.0,0.0,0.2,baseline_returned
Human_Astro::conversation_3079187_926.csv::s5,120,120,0,65,1,0.0,0.0,0.02666666666666667,0.12,0.04,0.0,0.08,baseline_returned
Human_Astro::conversation_3079187_926.csv::s6,180,60,1,7,1,0.017857142857142856,0.0,0.008928571428571428,0.26785714285714285,0.13392857142857142,0.008928571428571428,0.08035714285714286,baseline_returned
Human_Astro::conversation_3079187_926.csv::s7,197,197,1,33,1,0.05426356589147287,0.0,0.12403100775193798,0.5193798449612403,0.046511627906976744,0.0,0.015503875968992248,baseline_returned
Human_Astro::conversation_3079187_926.csv::s8,46,2,1,46,0,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.0,0.2,baseline_returned
Human_Astro::conversation_3079187_926.csv::s9,34,23,1,1,1,0.0,0.0,0.1,0.3,0.15,0.0,0.1,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s1,62,62,1,39,1,0.05263157894736842,0.05263157894736842,0.0,0.18421052631578946,0.07894736842105263,0.0,0.02631578947368421,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s10,49,49,1,49,0,0.0,0.0,0.0,0.1935483870967742,0.16129032258064516,0.0,0.2903225806451613,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s11,65,65,1,65,0,0.0,0.0,0.0,0.76,0.08,0.0,0.16,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s12,160,160,0,68,1,0.013333333333333334,0.0,0.0,0.9333333333333333,0.18666666666666668,0.02666666666666667,0.28,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s13,35,35,1,35,0,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.42857142857142855,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s14,64,64,0,52,1,0.08823529411764706,0.0,0.0,0.08823529411764706,0.058823529411764705,0.058823529411764705,0.23529411764705882,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s15,154,154,0,117,1,0.0,0.0,0.008547008547008548,0.017094017094017096,0.08547008547008547,0.0,0.0,baseline_returned
Human_Astro::conversation_3084324_3727.csv::s16,35,35,1,35,0,0.0,0.0,0.0,0.1,0.15,0.0,0.3,baseline_returned
